Charlotte Hornets, Boston Celtics
Indiana Pacers, Memphis Grizzlies
Toronto Raptors, Atlanta Hawks
Minnesota Timberwolves, Cleveland Cavaliers
Utah Jazz, Philadelphia 76ers
Portland Trail Blazers, Dallas Mavericks
Detroit Pistons, New York Knicks
LA Clippers, Houston Rockets
Chicago Bulls, Golden State Warriors
